,0
0,SEA
1,ACY
2,FLL
3,BWI
4,MSP
5,DEN
6,TPA
7,MCO
8,CAK
9,DTW
10,LAS
11,MCI
12,MYR
13,ATL
14,LAX
15,ORD
16,LBE
17,BOS
18,CLE
19,PIT
20,JAX
21,CMH
22,PHL
23,MSY
24,STX
25,PBG
26,BQN
27,OAK
28,DFW
29,LGA
30,GSO
31,IND
32,RDU
33,IAH
34,AUS
35,EWR
36,SJU
37,BDL
38,SAN
39,BUR
40,IAG
41,RSW
42,SFO
43,CLT
44,IAD
45,SNA
46,ALB
47,PDX
48,BOI
49,PHX
50,RNO
51,COS
52,KOA
53,MEM
54,BZN
55,BNA
56,DCA
57,SLC
58,BUF
59,SAT
60,CVG
61,BIL
62,HNL
63,ROC
64,RDM
65,BTV
66,GEG
67,LIH
68,MSN
69,JAC
70,CID
71,MSO
72,OGG
73,ABQ
74,MIA
75,ONT
76,GRR
77,GUM
78,SPN
79,PSP
80,EUG
81,STL
82,ICT
83,SBA
84,ANC
85,OKC
86,CHS
87,SMF
88,SAV
89,ORF
90,FCA
91,DLH
92,PBI
93,OMA
94,SYR
95,MFR
96,SJC
97,DSM
98,MKE
99,PWM
100,RAP
101,TUL
102,ITO
103,MDT
104,FAI
105,RIC
106,MFE
107,STT
108,MAF
109,FAT
110,TVC
111,PNS
112,XNA
113,TUS
114,JFK
115,AMA
116,LBB
117,TYS
118,VPS
119,SBP
120,GJT
121,ACV
122,SCE
123,MRY
124,STS
125,PAE
126,RDD
127,SUN
128,HDN
129,DRO
130,ASE
131,BHM
132,FSD
133,EGE
134,PVD
135,GSP
136,JAN
137,PSC
138,MMH
139,ECP
140,GTF
141,LWS
142,PIH
143,MQT
144,ABR
145,APN
146,PLN
147,BJI
148,BTM
149,CDC
150,CIU
151,CPR
152,EKO
153,TWF
154,INL
155,BGM
156,HIB
157,RHI
158,IMT
159,ITH
160,LSE
161,BRD
162,FWA
163,MLI
164,GRB
165,FLG
166,SDF
167,ROW
168,YUM
169,COU
170,LRD
171,RST
172,GRK
173,DAY
174,BFL
175,HOU
176,BGR
177,FAR
178,SAF
179,SGF
180,FNT
181,LAW
182,CHO
183,MEI
184,PIB
185,CYS
186,MHK
187,BTR
188,MTJ
189,AGS
190,MHT
191,SBN
192,HPN
193,DAL
194,KTN
195,ILM
196,GNV
197,MDW
198,MGM
199,ISN
200,BIS
201,GFK
202,FSM
203,GTR
204,IDA
205,AZO
206,MOB
207,ERI
208,SIT
209,MOT
210,PIA
211,LFT
212,ROA
213,LEX
214,LAN
215,LNK
216,BQK
217,TRI
218,VLD
219,ATW
220,AVL
221,DHN
222,MBS
223,HLN
224,AVP
225,MLU
226,FAY
227,ABY
228,CHA
229,SHV
230,CRW
231,CAE
232,ESC
233,ABE
234,WYS
235,SWF
236,COD
237,LGB
238,HSV
239,EAR
240,DVL
241,JMS
242,CNY
243,EAU
244,GCC
245,SHD
246,MKG
247,CKB
248,RKS
249,PUB
250,CMX
251,CGI
252,PAH
253,UIN
254,VEL
255,LBF
256,LWB
257,LBL
258,BFF
259,HYS
260,SLN
261,OGS
262,LAR
263,PIR
264,ATY
265,SPI
266,PRC
267,LIT
268,LCH
269,OTH
270,ELP
271,PHF
272,TLH
273,HVN
274,GPT
275,OAJ
276,LYH
277,DAB
278,ADQ
279,BET
280,BRW
281,SCC
282,JNU
283,CDV
284,YAK
285,PSG
286,WRG
287,GST
288,OME
289,OTZ
290,AKN
291,DLG
292,ADK
293,ACK
294,SRQ
295,PSE
296,ORH
297,HYA
298,MVY
299,EWN
300,TOL
301,MLB
302,EYW
303,CSG
304,ISP
305,HRL
306,TTN
307,BFM
308,BKG
309,TYR
310,BMI
311,GRI
312,GGG
313,BRO
314,SJT
315,SPS
316,SUX
317,SWO
318,CMI
319,ACT
320,CRP
321,HHH
322,CWA
323,PSM
324,HTS
325,GUC
326,HOB
327,CLL
328,AEX
329,PIE
330,SFB
331,BLI
332,OWB
333,USA
334,AZA
335,PGD
336,ELM
337,BLV
338,LCK
339,RFD
340,SCK
341,SMX
342,HGR
343,PVU
344,EVV
345,OGD
346,JLN
347,ABI
348,BPT
349,GCK
350,ALO
351,PPG
352,TXK
353,STC
354,DBQ
355,DRT
